New Phytologist Supporting Information
"Authors: Joel H. Nitta, James E. Watkins, Jr., and Charles C. Davis"
Article acceptance date: 5 February 2020
"Table S1: List of ferns from Moorea, French Polynesia included in this study"
Taxon code,Genus,Specific epithet,Infraspecific epithet,Informal variety,Scientific name,Name source
Diplazium_grantii,Diplazium,grantii,NA,NA,Diplazium grantii (Copel.) C.Chr.,NCBI
Diplazium_harpeodes,Diplazium,harpeodes,NA,NA,Diplazium harpeodes T.Moore,IPNI
Diplopterygium_longissimum,Diplopterygium,longissimum,NA,NA,Diplopterygium longissimum (Blume) Nakai,TROPICOS
Doryopteris_concolor,Doryopteris,concolor,NA,NA,Doryopteris concolor,IPNI
Dryopteris_dicksonioides,Dryopteris,dicksonioides,NA,NA,Dryopteris dicksonioides (Mett.) Copel.,IPNI
Dryopteris_macrolepidota,Dryopteris,macrolepidota,NA,NA,Dryopteris macrolepidota Copel.,NCBI
Elaphoglossum_samoense,Elaphoglossum,samoense,NA,NA,Elaphoglossum samoense Brack.,IPNI
Elaphoglossum_savaiense,Elaphoglossum,savaiense,NA,NA,Elaphoglossum savaiense (Baker) Diels,IPNI
Grammitis_marginelloides,Grammitis,marginelloides,NA,NA,Grammitis marginelloides (J.W. Moore) Copel.,TROPICOS
Haplopteris_elongata,Haplopteris,elongata,NA,NA,Haplopteris elongata (Sw.) E.H. Crane,TROPICOS
Histiopteris_incisa,Histiopteris,incisa,NA,NA,Histiopteris incisa,IPNI
Humata_anderssonii,Davallia,anderssonii,NA,NA,Davallia anderssonii Mett.; Kuhn,IPNI
Humata_pectinata,Davallia,pectinata,NA,NA,Davallia pectinata Sm.,TROPICOS
Hymenophyllum_braithwaitei,Hymenophyllum,braithwaitei,NA,NA,Hymenophyllum braithwaitei Ebihara & K.Iwats.,IPNI
Hymenophyllum_digitatum,Hymenophyllum,digitatum,NA,NA,Hymenophyllum digitatum (Sw.) Fosberg,IPNI
Hymenophyllum_flabellatum,Hymenophyllum,flabellatum,NA,NA,Hymenophyllum flabellatum Labill.,TROPICOS
Hymenophyllum_javanicum,Hymenophyllum,javanicum,NA,NA,Hymenophyllum javanicum Spreng.,TROPICOS
Hymenophyllum_multifidum,Hymenophyllum,multifidum,NA,NA,Hymenophyllum multifidum (G.Forst.) Sw.,IPNI
Hymenophyllum_pallidum,Hymenophyllum,pallidum,NA,NA,Hymenophyllum pallidum (Blume) Ebihara & K.Iwats.,IPNI
Hymenophyllum_polyanthos,Hymenophyllum,polyanthos,NA,NA,Hymenophyllum polyanthos (Sw.) Sw.,NCBI
Hypolepis_dicksonioides,Hypolepis,dicksonioides,NA,NA,Hypolepis dicksonioides (Endl.) Hook.,IPNI
Hypolepis_sp1,Hypolepis,sp,NA,NA,Hypolepis Bernh.,TROPICOS
Hypolepis_tenuifolia,Hypolepis,tenuifolia,NA,NA,Hypolepis tenuifolia,IPNI
Leucostegia_pallida,Leucostegia,pallida,NA,NA,Leucostegia pallida (Mett.) Copel.,IPNI
Lindsaea_propinqua,Lindsaea,propinqua,NA,NA,Lindsaea propinqua Hook.,TROPICOS
Lindsaea_repens,Lindsaea,repens,marquesensis,NA,Lindsaea repens (Bory) Thwaites var. marquesensis E. D. Br.,Murdock and Smith 2003
Lindsaea_rigida,Lindsaea,rigida,NA,NA,Lindsaea rigida J. Sm.,TROPICOS
Lomagramma_tahitensis,Lomagramma,tahitensis,NA,NA,Lomagramma tahitensis Holttum,IPNI
Lomariopsis_brackenridgei,Lomariopsis,brackenridgei,NA,NA,Lomariopsis brackenridgei Carruth.,IPNI
Lygodium_reticulatum,Lygodium,reticulatum,NA,NA,Lygodium reticulatum Schkuhr,TROPICOS
Macrothelypteris_polypodioides,Macrothelypteris,polypodioides,NA,NA,Macrothelypteris polypodioides (Hook.) Holttum,TROPICOS
Macrothelypteris_torresiana,Macrothelypteris,torresiana,NA,NA,Macrothelypteris torresiana (Gaudich.) Ching,TROPICOS
Microlepia_scaberula,Microlepia,scaberula,NA,NA,Microlepia scaberula Mett.; Kuhn,IPNI
Microsorum_commutatum,Microsorum,commutatum,NA,NA,Microsorum commutatum Copel.,TROPICOS
Microsorum_grossum,Microsorum,grossum,NA,NA,Microsorum grossum (Langsd. & Fisch.) S.B.Andrews,IPNI
Microsorum_membranifolium,Microsorum,membranifolium,NA,NA,Microsorum membranifolium (R. Br.) Ching,TROPICOS
Microsorum_powellii,Microsorum,powellii,NA,NA,Microsorum powellii (Baker) Copel.,IPNI
Microsorum_punctatum,Microsorum,punctatum,NA,NA,Microsorum punctatum,IPNI
Nephrolepis_biserrata,Nephrolepis,biserrata,NA,NA,Nephrolepis biserrata,IPNI
Nephrolepis_cordifolia,Nephrolepis,cordifolia,NA,NA,Nephrolepis cordifolia,IPNI
Nephrolepis_hirsutula,Nephrolepis,hirsutula,NA,NA,Nephrolepis hirsutula,IPNI
Oleandra_sibbaldii,Oleandra,sibbaldii,NA,NA,Oleandra sibbaldii Grev.,IPNI
Ophioglossum_falcatum,Ophioglossum,falcatum,NA,NA,Ophioglossum falcatum (Presl) Fowler,IPNI
Ophioglossum_pendulum,Ophioglossum,pendulum,NA,NA,Ophioglossum pendulum,IPNI
Oreogrammitis_raiateensis,Oreogrammitis,raiateensis,NA,NA,Oreogrammitis raiateensis (J.W.Moore) Parris,IPNI
Paesia_divaricatissima,Paesia,divaricatissima,NA,NA,Paesia divaricatissima (Dryand.) Copel.,IPNI
Pityrogramma_calomelanos,Pityrogramma,calomelanos,NA,NA,Pityrogramma calomelanos,IPNI
Plesioneuron_attenuatum,Plesioneuron,attenuatum,NA,NA,Plesioneuron attenuatum (Brack.) Holttum,IPNI
Plesioneuron_sp1,Plesioneuron,sp,NA,NA,Plesioneuron (Holttum) Holttum,TROPICOS
Pneumatopteris_mesocarpa,Pneumatopteris,mesocarpa,NA,NA,Pneumatopteris mesocarpa (Copel.) Holttum,IPNI
Polyphlebium_borbonicum,Polyphlebium,borbonicum,NA,NA,Polyphlebium borbonicum (Bosch) Ebihara & Dubuisson,IPNI
Polyphlebium_endlicherianum,Polyphlebium,endlicherianum,NA,NA,Polyphlebium endlicherianum (C.Presl) Ebihara & K.Iwats.,IPNI
